Airport ID,label
2117,8
2142,8
2151,8
2166,8
5712,8
5927,8
5928,8
5930,8
5931,8
5932,8
5934,8
5935,8
6746,8
6747,8
6748,8
6749,8
6759,8
7547,8
2221,8
2172,8
5937,8
2237,8
2994,8
2202,8
3081,8
3152,8
2214,8
3017,8
3098,8
3382,1
5942,8
2229,8
3015,8
3135,8
5951,8
2192,8
2195,8
2203,8
2222,8
5939,8
2204,8
5949,8
2212,8
2217,8
2227,8
2215,8
5945,8
2233,8
5940,8
5943,8
5953,8
4206,1
2243,1
2244,1
2247,1
2372,1
2249,21
2254,21
2256,1
2258,1
2287,1
2305,1
4381,1
2251,21
2255,21
2257,21
2259,1
2264,1
2275,1
2262,1
2272,1
2278,1
3121,1
3269,1
3374,1
3385,1
3387,1
3390,1
3368,1
3376,1
3389,1
3391,1
3393,1
2308,1
2322,1
2326,1
2384,1
3034,1
3035,1
3239,22
3308,1
3369,1
3371,1
3372,1
3373,1
3375,1
3379,1
3384,1
3392,1
3394,1
3400,1
3404,1
3774,23
3928,1
3940,1
4108,1
4120,1
4140,1
4144,1
4149,1
4380,1
6347,1
2334,1
2347,1
2370,1
2927,11
2933,11
2934,11
3380,1
2280,1
2286,1
2299,1
2324,1
3943,1
5994,1
5999,1
6476,1
2288,1
2290,1
2291,1
2295,1
2313,1
2296,1
2297,1
2304,1
5997,1
2307,1
2316,1
2310,1
2311,1
2312,1
2327,1
2328,1
2330,1
2332,1
2333,1
2335,1
2336,1
2337,1
2340,1
2345,1
2346,1
2352,1
2378,1
2387,1
2390,1
3409,1
5996,1
5998,1
6001,1
2361,1
2365,1
2374,1
2380,1
2381,1
4189,1
6003,1
6005,1
6007,1
6008,1
2430,1
6389,1
2388,1
2396,1
2399,1
2400,1
2401,1
2404,1
2422,1
2423,1
2425,1
2429,1
2433,1
2435,1
3994,1
3999,0
4002,1
4090,1
4199,1
4200,1
4201,1
4202,1
4203,1
4204,1
5988,1
6011,1
6016,1
6018,1
6019,1
6020,1
6021,1
6022,1
6023,1
6024,1
6025,1
6026,1
6386,1
6733,1
6745,1
6791,1
6013,1
2440,9
2442,9
2599,9
2441,9
2452,9
2454,9
2455,9
2456,9
2458,9
2460,9
2461,9
2467,9
2468,9
2469,9
2470,9
2471,9
2474,9
2476,9
2477,9
2487,9
2488,9
2490,9
2491,9
2492,9
2496,9
2497,9
2501,9
2508,9
2509,9
2513,9
2517,9
2555,9
2699,9
4061,9
6777,9
2512,9
2495,9
2518,24
7369,24
2522,9
2590,9
2612,9
2524,9
2548,9
